MATRICULA,VALOR_VR_TOTAL,CUSTO_EMPRESA,CUSTO_PROFISSIONAL
35712,735.0,588.0,147.0
35745,735.0,588.0,147.0
35717,735.0,588.0,147.0
35750,735.0,588.0,147.0
35705,735.0,588.0,147.0
35768,735.0,588.0,147.0
35738,735.0,588.0,147.0
35749,735.0,588.0,147.0
35754,735.0,588.0,147.0
35782,735.0,588.0,147.0
35751,735.0,588.0,147.0
35710,735.0,588.0,147.0
35762,735.0,588.0,147.0
35709,735.0,588.0,147.0
35744,735.0,588.0,147.0
35766,735.0,588.0,147.0
35765,735.0,588.0,147.0
35739,735.0,588.0,147.0
35756,735.0,588.0,147.0
35761,735.0,588.0,147.0
35763,735.0,588.0,147.0
35776,735.0,588.0,147.0
35730,735.0,588.0,147.0
35743,735.0,588.0,147.0
35770,735.0,588.0,147.0
35771,735.0,588.0,147.0
35777,735.0,588.0,147.0
35728,735.0,588.0,147.0
35769,735.0,588.0,147.0
35760,735.0,588.0,147.0
35700,735.0,588.0,147.0
35752,735.0,588.0,147.0
35772,735.0,588.0,147.0
35780,735.0,588.0,147.0
35758,735.0,588.0,147.0
35759,735.0,588.0,147.0
35702,735.0,588.0,147.0
35740,735.0,588.0,147.0
35727,735.0,588.0,147.0
35718,735.0,588.0,147.0
35731,735.0,588.0,147.0
35706,735.0,588.0,147.0
35732,735.0,588.0,147.0
35747,735.0,588.0,147.0
35764,735.0,588.0,147.0
35703,735.0,588.0,147.0
35704,735.0,588.0,147.0
35748,735.0,588.0,147.0
35721,735.0,588.0,147.0
35720,735.0,588.0,147.0
35729,735.0,588.0,147.0
35783,735.0,588.0,147.0
35726,735.0,588.0,147.0
35713,735.0,588.0,147.0
35722,735.0,588.0,147.0
35723,735.0,588.0,147.0
35724,735.0,588.0,147.0
35746,735.0,588.0,147.0
35711,735.0,588.0,147.0
35733,825.0,660.0,165.0
35778,825.0,660.0,165.0
35779,825.0,660.0,165.0
35734,825.0,660.0,165.0
35701,825.0,660.0,165.0
35736,770.0,616.0,154.0
35781,770.0,616.0,154.0
35773,770.0,616.0,154.0
35774,770.0,616.0,154.0
35741,770.0,616.0,154.0
35753,770.0,616.0,154.0
35707,735.0,588.0,147.0
35775,735.0,588.0,147.0
35714,735.0,588.0,147.0
